province,city,type,kode_faskes,NamaFaskes,gmap_url,address,telephone,lat,lng
Nanggroe Aceh Darussalam,Kota Langsa,Rumah Sakit,0001R001,RSU Cut Nyak Dhien,"http://maps.google.co.id/?q=4.488058,97.947963",Jl. Tm Bahrum No. 1 Langsa,0641-0621039,4.488058,97.947963
Nanggroe Aceh Darussalam,Kota Langsa,Rumah Sakit,0001R004,RSU Cut Meutia Langsa,"http://maps.google.co.id/?q=4.488088,97.947781",Jl.Garuda Kebun Baru Langsa,0641- 4840076,4.488088,97.947781
Nanggroe Aceh Darussalam,Kota Langsa,Rumah Sakit,0105R001,RSUD Langsa,"http://maps.google.co.id/?q=4.472208,97.975533",Jln.A.Yani No. 1 Langsa,0641-22051,4.472208,97.975533
Nanggroe Aceh Darussalam,Kota Langsa,Rumah Sakit,0105R013,RSU Ummi,"http://maps.google.co.id/?q=4.470376,97.991915",Jln. Prof. A. Madjid Ibrahim,0641-22886,4.470376,97.991915
Nanggroe Aceh Darussalam,Kota Langsa,Puskesmas,00010001,Langsa Lama,"http://maps.google.co.id/?q=4.478172,97.949988",Gampong Meurandeh Dayah,0641-064121218,4.478172,97.949988
Nanggroe Aceh Darussalam,Kota Langsa,Puskesmas,00010801,Langsa Baro,"http://maps.google.co.id/?q=4.474268,97.957391",Jl. Lilawangsa Langsa,0000-00000000,4.474268,97.957391
Nanggroe Aceh Darussalam,Kota Langsa,Puskesmas,00010802,Langsa Barat,"http://maps.google.co.id/?q=4.471487,97.989911",Jl.Prof.A. Madjid Ibrahim,0000-064120282,4.471487,97.989911
Nanggroe Aceh Darussalam,Kota Langsa,Puskesmas,00010803,Langsa Kota,"http://maps.google.co.id/?q=4.471071,97.974053",Jl. H.Agussalim No.10 ,0641-064121912,4.471071,97.974053
Nanggroe Aceh Darussalam,Kota Langsa,Puskesmas,00011801,Langsa Timur,"http://maps.google.co.id/?q=4.434317,98.017183",Medan-Banda Aceh Km 7,0821-65824360,4.434317,98.017183
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Utama,0001U011,dr. Hj. Sri Hariaty,"http://maps.google.co.id/?q=4.468557,97.962106",Jalan Panglima Polem No 64,0811-6708681,4.468557,97.962106
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Utama,0001U013,dr. Herman. I,"http://maps.google.co.id/?q=4.522193,97.9386","Medan-Banda Aceh, Dusun Makmur",0811-6700396,4.522193,97.9386
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Utama,0001U014,dr. MUHAMMAD YUSUF AKBAR,"http://maps.google.co.id/?q=4.414045,98.025924",Medan - Banda Aceh Km 10,0811-6772220,4.414045,98.025924
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,00010002,Polkes Im.09.02 Langsa,"http://maps.google.co.id/?q=4.466214,97.983966",Jl. Cut Nyak Dien No. 21A,0813-081362667,4.466214,97.983966
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,00010003,Poliklinik Polres Langsa,"http://maps.google.co.id/?q=4.463615,97.984589",Jl. Cut Nyak Dhien No. 5 ,0641-085370630,4.463615,97.984589
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,0001B003,BP Bina Husada,"http://maps.google.co.id/?q=4.471103,97.964406",Jln. Pertanian Dusun Bahagia ,0817-211794,4.471103,97.964406
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,0001B004,"Bp Dr. Syarbaini, Mkes","http://maps.google.co.id/?q=4.47479,97.96112",Jln. A. Yani No. 154 B,0823-63404777,4.47479,97.96112
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,0001B005,Klinik Dokter Chik,"http://maps.google.co.id/?q=4.62782,97.980222",Jalan Medan Banda Aceh,0812-6922267,4.62782,97.980222
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,0001B006,Bp Kita,"http://maps.google.co.id/?q=4.457848,97.971393",Jalan Mesjid No 8,0852-62157460,4.457848,97.971393
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,0001B009,Klinik Sahabat,"http://maps.google.co.id/?q=4.4803356,97.9743895",Jln. Jendral Sudirman No. 4A,0811-6701088,4.4803356,97.9743895
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,0001B010,Klinik Ummi,"http://maps.google.co.id/?q=4.473357,97.968972",Jalan Sudirman No.12,0812-62053080,4.473357,97.968972
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,0001B011,Klinik Cut Meutia,"http://maps.google.co.id/?q=4.448084,97.964212",Jl. Kebun Baru,0853-61192085,4.448084,97.964212
